seed,update_epoch,member,copied_from
38042,5,4,2
38042,10,4,2
38042,15,4,2
38042,20,4,2
38042,25,4,2
38042,30,4,2
38042,35,1,2
38042,40,4,2
38042,45,4,3
38042,50,4,2
38042,55,4,2
38042,60,4,2
38042,65,4,3
38042,70,4,1
45921,5,0,4
45921,10,0,4
45921,15,0,1
45921,20,3,0
45921,25,4,1
45921,30,2,4
45921,35,3,1
45921,40,0,3
45921,45,2,1
45921,50,4,1
45921,55,0,1
45921,60,0,1
45921,65,0,1
45921,70,0,1
207796,5,3,1
207796,10,1,2
207796,15,1,4
207796,20,3,4
207796,25,0,3
207796,30,2,4
207796,35,0,2
207796,40,1,4
207796,45,1,4
207796,50,1,4
207796,55,0,4
207796,60,0,4
207796,65,0,4
207796,70,1,4
217401,5,2,0
217401,10,2,4
217401,15,2,4
217401,20,2,1
217401,25,2,1
217401,30,4,1
217401,35,0,1
217401,40,0,1
217401,45,0,1
217401,50,0,1
217401,55,0,1
217401,60,0,1
217401,65,0,1
217401,70,0,1
637451,5,4,0
637451,10,3,0
637451,15,4,1
637451,20,3,1
637451,25,4,2
637451,30,3,4
637451,35,0,4
637451,40,0,4
637451,45,0,2
637451,50,0,1
637451,55,0,1
637451,60,0,1
637451,65,0,1
637451,70,0,1
